"Name","International","National"
"New Jersey Building Construction Laborers District Council","","LIUNA"
"United Electrical, Radio and Machine Workers of America \(UE\)","","UE"
"SEIU United Healthcare Workers West","","SEIU"
"WORKERS UNITED A/W SERVICE EMPLOYEES INTERNATIONAL UNION","","WU"
"IATSE","","IATSE"
"International Union, Security, Police and Fire Professionals of America","","SPFPA"
"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union \(USW\), AFL-CIO, CLC","","USW"
"UNITED STEELWORKERS","","USW"
"United Government Security Officers of America","","UGSOA"
"Pennsylvania Professional Fire Fighters Association, a/w International Association of Fire Fighters, AFL-CIO","","IAFF"
"Retail, Wholesale and Department Store Union \(RWDSU\), United Food and Commercial Workers","","RWDSU"
"INTERNATIONAL UNION, SECURITY, POLICE & FIRE PROFESSIONALS OF AMERICA \(SPFPA\)","","SPFPA"
"United Steelworkers of America, AFL-CIO-","","USW"
"MASSACHUSETTS NURSES ASSOCIATION","","NNU"
"International Association of Bridge, Structural, Ornamental and Reinforcing Iron Workers, AFL-CIO","","Ironworkers"
"National League of Justice and Security Professionals \(NLJSP\)","","NLJSP"
"International Association of EMT's and Paramedics \(IAEP\)","","NAGE"
"NATIONAL EMERGENCY MEDICAL SERVICES ASSOCIATION","","NEMSA"
"SEIU, SERVICE EMPLOYEES INTERNATIONAL UNION","","SEIU"
"International Association of Machinists","","IAM"
"United Steelworkers of America, AFL-CIO,","","USW"
"Federal Contract Guards of America \(FCGOA\)","","FCGOA"
"Chicago and Midwest Regional Joint Board, Workers United/Service Employees International Union","","WU"
"International Union, United Automobile, Aerospace & Agricultural Implement Workers of America","","UAW"
"SEIU HEALTHCARE MINNESOTA","","SEIU"
"INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AMERICA, UAW","","UAW"
"United Federation of Special Police and Security Officers, Inc\.","","United Federation LEOS-PBA"
