"Name","International","National"
"International Union United Automobile Aerospace & Agricultural Implement Workers of America UAW","","UAW"
"United Steelworkers of America, AFL-CIO-CLC \(Puerto Rico\)","","USW"
"United Steelworkers of America AFL-CIO,","","USW"
"International Union Security Police and Fire Professionals of America \(SPFPA\)","","SPFPA"
"International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, its Territories, and Canada \(IATSE\)","","IATSE"
"INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AMERICA \(UAW\)","","UAW"
"International Union Security, Police and Fire Professionals of America \(SPFPA\)","","SPFPA"
"Washington State Nurses Association, affiliated with the American Federation of Teachers","","AFT"
"International Union, United Auto Workers","","UAW"
"North Central States Regional Council of Carpenters","","UBC"
"Utility Workers Union of America","","UWUA"
"Oregon Nurses Association, affiliated with American Federation of Teachers","","AFT"
"SEIU Healthcare Illinois Indiana","","SEIU"
"SEIU United Healthcare Workers-West, CLC","","SEIU"
"Service Employees International Union United Healthcare Workers - West","","SEIU"
"The New York State Nurses Association","","NYSNA"
"The NewsGuild-CWA","","NewsGuild"
"Doughnut Workers United","","WU"
"National Nurses Organizing Committee-Missouri/National Nurses United \(NNOC-MO/NNU\)","","NNU"
"Industrial Workers of the World, San Francisco Bay Area Branch","","IWW"
"FEDERAL CONTRACT GUARDS OF AMERICA \(FCGOA\)","","FCGOA"
"Chicago and Midwest Regional Joint Board, Workers United affiliated with Service Employees International Union","","WU"
"NATIONAL NURSES ORGANIZING COMMITTEE \(NNOC\) - TEXAS/NNU","","NNU"
"International Organization of Masters Mates & Pilots, ILA/AFL-CIO","","ILA"
"District Council of Iron Workers of the State of California and Vicinity, International Association of Bridge, Structural, Ornamental and Reinforcing Iron Workers","","Ironworkers"
"Chicago and Midwest Regional Joint Board, Workers United, affiliated with SEIU","","WU"
"United Electrical, Radio, and Machine Workers of America","","UE"
"SOUTHWEST REGIONAL COUNCIL OF CARPENTERS, UNITED BROTHERHOOD OF CARPENTERS AND JOINERS OF AMERICA","","UBC"
"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO/CLC \(United Steelworkers\)","","USW"
"United Steel, Paper & Forestry, Rubber, Manufacturing, Energy, Allied-Industrial & Service Workers International Union, AFL-CIO","","USW"
"S\.E\.I\.U\. Healthcare Pennsylvania, CTW, CLC","","SEIU"
"SEIU Healthcare MO-KS, a Division of SEIU Healthcare Illinois Indiana","","SEIU"
"International Brotherhood of Boilermakers","","IBB"
"SERVICE EMPLOYEES INTERNATIONAL UNION - UNITED HEALTHCARE WORKERS WEST","","SEIU"
"UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRY AND SERVICE WORKERS INTERNATIONAL UNION, AFL-CIO","","USW"
"United Food & Commercial Workers Union Local One","","UFCW"
"Service Employees International Union, United Healthcare Workers \[UHW\]","","SEIU"
"CALIFORNIA NURSES ASSOCIATION/NATIONAL NURSES ORGANIZING COMMITTEE \(CNA/NNOC\)","","NNU"
"SCREEN ACTORS GUILD-AMERICAN FEDERATION OF TELEVISION AND RADIO ARTISTS \(SAG-AFTRA\)","","SAG-AFTRA"
"Washington & Northern Idaho District Council of Laborers, LIUNA","","LIUNA"
"Southern Region, Workers United, SEIU","","WU"
"INTERNATIONAL UNION OF ELECTRONIC, ELECTRICAL, SALARIED, MACHINE AND FURNITURE WORKERS - CWA AFL-CIO","","CWA"
"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied-Industrial and Service Workers International Union, AFL-CIO, CLC","","USW"
"PATCO \[Professional Air Traffic Controllers Organization\]","","PATCO"
"United Steel, Paper & Forestry, Rubber, Manufacturing, Energy, Allied Industrial & Service Workers International Union, AFL-CIO/CLC","","USW"
"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America, AFL-CIO \(UAW\)","","UAW"
"SERVICE EMPLOYEES INTERNATIONAL UNION, UNITED SERVICE WORKERS-WEST","","SEIU"
"INTERNATIONAL ASSOCIATION OF SHEET METAL, AIR, RAIL AND TRANSPORTATION WORKERS","","SMART"
"Oregon Nurses Association, American Federation of Teachers","","AFT"
"International Association of Machinists & Aerospace Workers AFL-CIO","","IAM"
"Law Enforcement Officers Security Unions \(LEOSU-DC\)","","United Federation LEOS-PBA"
"NATIONAL ASSOCIATION OF GOVERNMENT EMPLOYEES","","NAGE"
"GRAPHIC COMMUNICATIONS CONFERENCE/INTERNATIONAL BROTHERHOOD OF TEAMSTERS","","Teamsters"
"INTERNATIONAL ASSOCIATION OF MACHINISTS AND AEROSPACE WORKERS, AFL-CIO,","","IAM"
"Michigan Alliance of Charter Teachers and Staff \(Michigan ACTS\), American Federation of Teachers \(AFT\), AFL-CIO","","AFT"
"WASHINGTON AND NORTHERN IDAHO DISTRICT COUNCIL OF LABORERS, AFL-CIO","","LIUNA"
"Service Employees International Union HCII","","SEIU"
"UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SERVICE WORKERS INTERNATIONAL UNION AFL-CIO, CLC","","USW"
"Public Service Employees Local Union - LIUNA","","LIUNA"
"Laborers International Union of North America","","LIUNA"
"SEIU HEALTHCARE MISSOURI-KANSAS, A DIVISION OF SEIU HEALTHCARE ILLINOIS-INDIANA","","SEIU"
"FEDERAL CONTRACT GUARDS OF AMERICA \(FCGOA\) INTERNATIONAL UNION","","FCGOA"
"Service Employees International Union-United Healthcare Workers, \[SEIU-UHW\]","","SEIU"
"NNOC-MISSOURI/NNU","","NNU"
"RETAIL, WHOLESALE AND DEPARTMENT STORE UNION, UNITED FOOD AND COMMERCIAL WORKERS \(RWDSU\)","","RWDSU"
"National Air Traffic Controllers Association","","NATCA"
"UNITED STEELWORKERS OF AMERICA, AFL-CIO, CLC","","USW"
"INT'L UNION, SECURITY, POLICE AND FIRE PROFESSIONALS OF AMERICA, \(SPFPA\)","","SPFPA"
"WASHINGTON & NORTHERN IDAHO DISTRICT COUNCIL OF LABORERS","","LIUNA"
"IUE-CWA, AFL-CIO","","CWA"
"IAM Midwest Territory","","IAM"
"NNOC-FLORIDA/NNU","","NNU"
"INTERNATIONAL ASSOCIATION OF EMTS AND PARAMEDICS, SEIU/NAGE","","NAGE"
"UNITED STEELWORKERS, AFL-CIO","","USW"
"UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRAL AND SERVICE WORKER","","USW"
"UGSOA INTERNATIONAL UNION","","UGSOA"
"INTERNATIONAL CHEMICAL WORKERS UNION COUNCIL OF THE UFCW","","UFCW"
"ASSOCIATED FRENCH SCHOOL EMPLOYEES, AFT, AFL-CIO","","AFT"
"Security, Police and Fire Professionals of America \(SPFPA\)","","SPFPA"
"TRANSPORT WORKERS UNION OF AMERICA","","TWU"
"USWA, AFL-CIO, CLC","","USW"
"USCSO","","USCSO"
"SERVICE EMPLOYEES INTERNATIONAL UNION, CHANGE TO WIN","","SEIU"
"IBEW, AFL-CIO","","IBEW"
"OFFICE AND PROFESSIONAL EMPLOYEES INTERNATIONAL UNION","","OPEIU"
"ILWU","","ILWU"
"American Postal Workers Union","","APWU"
"Milwaukee & Southern Wisconsin Regional Council of Carpenters","","UBC"
"UFCW Local Two","","UFCW"
"Unión General de Trabajadores, SEIU","","SEIU"
"Chicago and Northeast Illinois District Council of Carpenters","","UBC"
"International Union, United Automobile, Aerospace & Agricultural Implement Workers of America, UAW, AFL-CIO","","UAW"
"Service Employees International Union, United Healthcare Workers West, AFL-CIO","","SEIU"
"International Association of EMTS and Paramedics,SEIU/NAGE, AFL-CIO","","NAGE"
"Arkansas Regional Council of Carpenters","","UBC"
"United Automobile, Aerospace & Agricultural Implement Workers of America \(UAW\)","","UAW"
"United Auto Workers International Union, UAW","","UAW"
"Milwaukee & Southern Regional Council of Carpenters","","UBC"
"IAM&AW, AFL-CIO","","IAM"
"Southern and Central Illinois Laborers' District Council","","LIUNA"
"International Association of EMTs and Paramedics, NAGE-SEIU, AFL-CIO","","NAGE"
"Service Employees International Union, AFL-CIO-CLC","","SEIU"
"International Union United Automobile, Aerospace and Agricultural Workers of America \(UAW\)","","UAW"
"International Union, Security Police Fire Professionals of America \(SPFPA\)","","SPFPA"
"Connecticut Laborers' District Council","","LIUNA"
"USWA, AFL-CIO-CLC","","USW"
"United Steelworkers of America AFL-CIO-C","","USW"
"United Electrical, Radio and Machine Wor","","UE"
"Laborers International Union of North Am","","LIUNA"
"Service Employees International Union Lo","","SEIU"
"Office & Professional Employees Internat","","OPEIU"
"Union Rights for Security Officers","","URSO"
"NABET-CWA, AFL-CIO","","NABET"
"California Nurses Association/National Nurses United","","NNU"
"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial & Service Workers International Union, AFL-CIO, CLC","","USW"
"International Association of Machinists and Aerospace Workers \(IAM\)","","IAM"
"Workers United a/w Service Employees International Union \(SEIU\)","","WU"
"American Federation of Teachers – Pennsylvania","","AFT"
"California Nurses Association/National Nurses United \(CNA/NNU\)","","NNU"
"United Steel, Paper & Forestry, Rubber, Manufacturing, Energy, Allied Industrial & Service Workers International Union","","USW"
"Retail, Wholesale and Department Store Union Mid-South","","RWDSU"
"The Pharmacy Guild a/w International Association of Machinists and Aerospace Workers, AFL-CIO","","IAM"
"International Association of Machinists and Aerospace Workers, AFL-CIO, CLC","","IAM"
"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied & Industrial Service Workers International Union, AFL CIO, CLC","","USW"
"Workers United, a/w Service Employees International Union","","WU"
"New York Metropolitan Area Joint Board, Workers United","","WU"
"WORKERS UNITED, AFFILIATED WITH SERVICE EMPLOYEES INTERNATIONAL UNION \(SEIU\)","","WU"
"Workers United, Service Employees International Union","","WU"
"NABET-CWA","","NABET"
"INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AMERICA \(UAW\), AFL-CIO","","UAW"
"International Union of Painters and Allied Trades","","IUPAT"
"IUE-Communications Workers of America","","CWA"
"CalArts United - UAW","","UAW"
"FEDERAL CONTRACT GUARDS OF AMERICA","","FCGOA"
"United Food and Commercial Workers District Union Local Two","","UFCW"
"Screen Actors Guild-American Federation of Television and Radio Artists","","SAG-AFTRA"
"United Automobile, Aerospace, and Agricultural Implement Workers of America, UAW","","UAW"
"United Federation of Teachers","","AFT"
"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied & Industrial Service Workers International Union, AFL-CIO, CLC \(USW\)","","USW"
"American Federation of State, County and Municipal Employees, AFL-CIO","","AFSCME"
"Chicago and Midwest Regional Joint Board, Workers United","","WU"
"Retail, Wholesale and Department Store Union \(RWDSU\)","","RWDSU"
"International Association of Machinists & Aerospace Workers \(IAM&AW\), AFL-CIO","","IAM"
"Graduate Students United \(GSU\) - United Electrical, Radio & Machine Workers of America \(UE\)","","UE"
"International Union, United Automobile, Aerospace & Agricultural Implement Workers of America-UAW","","UAW"
"National Association of Broadcast Employees & Technicians - Communications Workers of America AFL-CIO","","NABET"
"United Steel, Paper and Forestry, Rubber, Manufacturing, Allied Industrial and Service Workers International Union, AFL-CIO, CLC","","USW"
"International Union, United Automobile, Aerospace & Agricultural Implement Workers of America \(UAW\), AFL-CIO","","UAW"
"SEIU Healthcare MN & IA","","SEIU"
"The News Guild-CWA","","NewsGuild"
"International Union, Security, Police and Fire Professional of America \(SPFPA\)","","SPFPA"
"INTERNATIONAL ALLIANCE OF THEATRICAL STAGE EMPLOYEES","","IATSE"
"UVMMC Support Staff United, VFNHP, AFT Vermont","","AFT"
"SEIU, United Healthcare Workers - West","","SEIU"
"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America, \(UAW\), AFL-CIO","","UAW"
"New York New Jersey Regional Joint Board, Workers United","","WU"
"National Air Traffic Controllers Association, Inc\., AFL-CIO \(NATCA\)","","NATCA"
"International Union, Security, Police & Fire Professionals of America","","SPFPA"
"INTERNATIONAL ASSOCIATION OF BRIDGE, STRUCTURAL, ORNAMENTAL AND REINFORCING IRON WORKERS, AFL-CIO","","Ironworkers"
"Chicago & Midwest Regional Joint Board, Workers United, an affiliate of SEIU","","WU"
"California Federation of Teachers, AFL-CIO","","AFT"
"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial & Service Workers International Union, AFL-CIO","","USW"
"International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America, UAW","","UAW"
"UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SERVICE WORKERS INTERNATIONAL UNION, AFL-CIO","","USW"
"SEIU HC Illinois, Indiana, Missouri and Kansas","","SEIU"
"UFCW District Union Local One","","UFCW"
"Theatrical Protective Union, Local No\. One, IATSE, AFL-CIO, CLC","","IATSE"
"UNITED AUTOMOBILE, AEROSPACE & AGRICULTURAL IMPLEMENT WORKERS OF AMERICA \(UAW\)","","UAW"
"The Watson Institute Education Association PSEA/NEA","","NEA"
"Screen Actors Guild- American Federation of Television and Radio Artists \(SAG-AFTRA\)","","SAG-AFTRA"
"Retail, Wholesale, and Department Store Union, UFCW","","RWDSU"
"Retail, Wholesale and Department Store Union, UFCW","","RWDSU"
"INTERNATIONAL UNION OF ELEVATOR CONSTRUCTORS, AFL-CIO","","IUEC"
"International Chemical Workers Union Council of the United Food and Commercial Workers Union, AFL-CIO, CLC","","UFCW"
"THE NEWS GUILD-CWA","","NewsGuild"
"PA Virtual Charter Education Association, PSEA/NEA","","NEA"
"CALIFORNIA FEDERATION OF TEACHERS","","AFT"
"UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AMERICA, UAW","","UAW"
"Cleveland Alliance of Charter Teachers and Staff, a/w Ohio Federation of Teachers, American Federation of Teachers, AFL-CIO","","AFT"
"UNITED STEEL, PAPER & FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL & SERVICE WORKERS INTERNATIONAL UNION","","USW"
"California Nurses Association Legal Department","","NNU"
"Retail, Wholesale, & Department Store Union/UFCW Southeast Council","","RWDSU"
"Retail, Wholesale & Department Store Union \(RWDSU\)","","RWDSU"
"SEIU Healthcare Missouri/Kansas, a Division of SEIU Healthcare Illinois & Indiana","","SEIU"
"UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SERVICE WORKERS, INTERNATIONAL UNION","","USW"
"Northeast Regional Council of Carpenters","","UBC"
"Retail, Wholesale, Department Store Union \(RWDSU\) United Food and Commercial Workers, AFL-CIO, CLC","","RWDSU"
"Law Enforcement Officers Security Unions LEOSU-DC","","United Federation LEOS-PBA"
"International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, its Territories and Canada AFL-CIO CLC","","IATSE"
"UFCW Local One","","UFCW"
"Retail, Wholesale & Department Store Union, Mid-South Council","","RWDSU"
"Service Employees International Union, United Healthcare Workers - West \(SEIU-UHW\)","","SEIU"
"SEIU Healthcare Michigan, Service Employees International Union","","SEIU"
"United Steel, Paper and Forestry, Rubber Manufacturing, Energy, Allied Industrial and Service Workers International Union","","USW"
"UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SERVICE WORKERS INTERNATIONAL UNION \(USW\), AFL-CIO, CLC","","USW"
"International Chemical Workers Union Council of United Food and Commercial Workers International Union","","UFCW"
"HARVARD GRADUATE STUDENTS UNION-UAW \(HGSU-UAW\)","","UAW"
"Union General de Trabajadores, Service Employees International Union \(SEIU\)","","SEIU"
"SEIU HEALTHCARE WISCONSIN","","SEIU"
"United Food & Commercial Workers International Union","","UFCW"
"Service Employees International Union - Healthcare Minnesota","","SEIU"
"Amalgamated Transit Union, International","","ATU"
"Screen Actors Guild-American Federation of Television and Radio Artists \(SAG-AFTRA\) Chicago Local","","SAG-AFTRA"
"United Steel, Paper & Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers","","USW"
"AMALGAMATED TRANSIT UNION, INTERNATIONAL, AFL-CIO","","ATU"
"United Electrical, Radio and Machine Workers of America","","UE"
"UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION DISTRICT LOCAL ONE","","UFCW"
"SMART \(Sheet Metal, Air, Rail and Transportation Workers\)","","SMART"
"United Food & Commercial Workers International Union AFL-CIO & CLC","","UFCW"
"The Chicago & Midwest Regional Joint Board, Workers United, an SEIU affiliated","","WU"
"SERVICE EMPLOYEES INTERNATIONAL UNION-WEST","","SEIU"
"NATIONAL EDUCATION ASSOCIATION RHODE ISLAND","","NEA"
"Southern Region Workers United SEIU","","WU"
"SEIU Health Care, Illinois Indiana","","SEIU"
"Philadelphia Joint Board, Workers United A/W SEIU","","WU"
"Industrial Workers of the World - Grand Rapids GMB","","IWW"
"SEIU TEXAS","","SEIU"
"Service Employees International Union Healthcare Illinois, Indiana, Missouri, Kansas","","SEIU"
"SEIU Healthcare IL/IN","","SEIU"
"SEIU HEALTHCA","","SEIU"
"CONNECTICUT HEALTH CARE ASSOCIATES, NUHHCE, AFSCME, AFL-CIO","","AFSCME"
"SEIU","","SEIU"
"INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES","","IUPAT"
"PENNSYLVANIA ASSOCIATION OF STAFF NURSES AND ALLIED PROFESSIONALS \(PASNAP\)","","PASNAP"
"INTERNATIONAL UNION SECURITY, POLICE AND FIRE PROFESSIONALS OF AMERICA \(SPFPA\)","","SPFPA"
"National Nurses Organizing Committee \(NNOC\)","","NNU"
"National Emergency Medical Services Association","","NEMSA"
"SEIU-ULTCW, Service Employees International Union, United Long Term Care Workers","","SEIU"
"UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL SERVICE WORKERS INTERNATIONAL UNION \(USW\), AFL-CIO","","USW"
"CHICAGO REGIONAL COUNCIL OF CARPENTERS","","UBC"
"NEW ENGLAND COALITION OF PUBLIC SAFETY \(NECOPS\)","","ACOPS"
"INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS, AFL-CIO","","IAFF"
"NATIONAL EMERGENCY MEDICAL SERVICES ASSOCIATION \(NEMSA\)","","NEMSA"
"ASSOCIATION OF WESTERN PULP AND PAPER WORKERS","","AWPPU"
"SEIU HEALTHCARE PENNSYLVANIA","","SEIU"
"SEIU, SERVICE EMPLOYEES INTERNATIONAL UNION, CTW, CLC","","SEIU"
"SECURITY, POLICE AND FIRE PROFESSIONALS OF AMERICA \(SPFPA\)","","SPFPA"
"UGSOA International Union","","UGSOA"
"INTERNATIONAL UNION, SECURITY, POLICE & FIRE PROFESSIONALS OF AMERICA","","SPFPA"
"SERVICE EMPLOYEES INTERNATIONAL UNION HEALTHCARE TEXAS","","SEIU"
"INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES, AFL-CIO, CLC","","IUPAT"
"International Union of Painters and Allied Trades, AFL-CIO, CLC","","IUPAT"
"AMERICAN FEDERATION OF TEACHERS, AFL-CIO, CLC","","AFT"
"MAINE EDUCATION ASSOCIATION, A/W NATIONAL EDUCATION ASSOCIATION OF THE UNITED STATES","","NEA"
"SPFPA INTERNATIONAL HEADQUARTERS","","SPFPA"
"TEAMSTERS AUTOMOTIVE CHAUFFEURS, PARTS, GARAGE, OFFICE CLERICAL, AIRLINE, HEALTHCARE, PETROLEUM INDU","","Teamsters"
"INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AMERICA AND","","UAW"
"Southwest Regional Council of Carpenters, United Brotherhood of Carpenters and Joiners of America","","UBC"
"UGSOA","","UGSOA"
"TEAMSTERS NATIONAL UPS FREIGHT NEGOTIATING COMMITTEE","","Teamsters"
"IBEW","","IBEW"
"UNITED ASSOCIATION OF JOURNEYMEN AND APPRENTICES OF THE PLUMBING AND PIPEFITTING INDUSTRY OF THE U\.S","","UA"
"International Association of Machinists and Aerospace Workers, AFl-CIO","","IAM"
"SEIU UNITED HEALTHCARE WORKERS-WEST \(SERVICE EMPLOYEES INTERNATIONAL UNION\)","","SEIU"
"UNITED FOOD AND COMMERCIAL WORKERS UNION","","UFCW"
"Greater Pennsylvania Regional Council of Carpenters","","UBC"
"UNITE HERE","","UNITE HERE"
"SERVICE EMPLOYEES INTERNATIONAL UNION HEALTHCARE PENNSYLVANIA, CTW, CLC","","SEIU"
"INTERNATIONAL ASSOCIATION OF EMTS AND PARAMEDICS","","NAGE"
"NEW ENGLAND REGIONAL COUNCIL OF CARPENTERS, A/W UNITED BROTHERHOOD OF CARPENTERS AND JOINERS OF AMER","","UBC"
"UNITED STEEL WORKERS","","USW"
"INTERNATIONAL UAW","","UAW"
"IAM, MIDWEST TERRITORY REGIONAL OFFICE","","IAM"
"SEAFARERS INTERNATIONAL UNION","","Seafarers"
"Service Employees International Union \(SEIU\) Florida Healthcare Union","","SEIU"
"International Association of EMTs and Paramedics, SEIU/NAGE","","NAGE"
"Service Employees International Union, \(SEIU\) Florida Healthcare Union","","SEIU"
"Seafarers International Union of North America, AFL-CIO","","Seafarers"
"Michigan Regional Council of Carpenters","","UBC"
"IAM and Aerospace Workers, AFL-CIO","","IAM"
"United Steelworkers, AFL-CIO-CLC","","USW"
"International Association of EMT's and Paramedics, SEIU/NAGE, AFL-CIO","","NAGE"
"United Steelworkers of Amercia","","USW"
"Amalgamated Transit Union, AFL-CIO, CLC","","ATU"
"Maine State Nurses Association","","NNU"
"SEIU, UHW- West","","SEIU"
"Retail, Wholesale and Department Store Union, UFCW, AFL-CIO","","RWDSU"
"United Mine Workers of America, AFL-CIO-CLC","","UMWA"
"Greater Pennsylvania Regional Council of Carpenters a/w United Brotherhood of Carpenters and Joiners of America","","UBC"
"New England Regional Council of Carpenters, United Brotherhood of Carpenters & Joiners of America, AFL-CIO","","UBC"
"International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmiths, Forgers & Helpers, AFL-CIO","","IBB"
"New England Regional Council of Carpenters","","UBC"
"USWA AFL-CIO-CLC","","USW"
"AFSCME","","AFSCME"
"National Association of Broadcast Employees & Technicians-CWA, AFL-CIO","","NABET"
"International Organization of Masters, Mates & Pilots, ILA, AFL-CIO","","ILA"
"Mountain West Regional Council of Carpenters","","UBC"
"Teamsters Joint Council","","Teamsters"
"International Chemical Workers Union Council/UFCW","","UFCW"
"International Union of Electrical Workers Industrial Division-Communication Workers of America, AFL-CIO","","CWA"
"International Union, United Automobile, Aerospace & Agricultural Implement Workers of America, \(UAW\)","","UAW"
"Indiana Joint Board, RWDSU Council, UFCW, AFL-CIO","","RWDSU"
"UAW Subregional Office","","UAW"
"United Steelworkers of America - AFL-CIO-CLC","","USW"
"International Association of EMTs and Paramedics, NAGE, SEIU, AFL-CIO","","NAGE"
"International Union UAW","","UAW"
"Indiana Regional Council of Carpenters","","UBC"
"New York District Council of Carpenters, United Brotherhood of Carpenters and Joiners of America, AFL-CIO","","UBC"
"UFCW District Union Local Two, AFL-CIO","","UFCW"
"American Postal Workers Union, Pittsburgh Metro Area Postal Workers Union, AFL-CIO","","APWU"
"IAM & AW Western Regional Office","","IAM"
"IAM District Council","","IAM"
"International Association of EMT's & Paramedics\(I\.A\.E\.P\.\), Div\. of NAGE/SEIU, AFL-CIO","","NAGE"
"International Union, United Automobile, Aerospace, & Agricultural Implement Workers of America, Uaw","","UAW"
"United Food & Commercial Workers' Intl\.","","UFCW"
"United Food & Commercial Workers Interna","","UFCW"
"Intl\. Union of Operating Engineers, Loca","","IUOE"
"Communications Workers of America, AFL-C","","CWA"
"Intl\. Brotherhood of Teamsters, Local No","","Teamsters"
"Laborers' International Union of North A","","LIUNA"
"United Food and Commercial Workers Distr","","UFCW"
"The Newspaper Guild of New York, Local N","","NewsGuild"
