"Name","National"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO, Council 93","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, COUNCIL 4 AFSCME","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, COUNCIL 4, AFL-CIO","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, COUNCIL 5, AFL-CIO","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, COUNCIL 93, AFL-CIO","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, DISTRICT COUNCIL 85, AFL-CIO","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, LOCAL 101","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, LOCAL 1108, AFL-CIO","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, LOCAL 1644","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, LOCAL 3001","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, MINNESOTA COUNCIL 5","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, RI COUNCIL 94 AFSCME, AFL-CIO","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY, AND MUNICIPAL EMPLOYEES #105","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY, AND MUNICIPAL EMPLOYEES DISTRICT COUNCIL 84, AFL-CIO","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY, AND MUNICIPAL EMPLOYEES LOCAL 4041","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY, AND MUNICIPAL EMPLOYEES MN COUNCIL 5, AFL-CIO","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY, AND MUNICIPAL EMPLOYEES, AFL-CIO (AFSCME), LOCAL 412","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY, AND MUNICIPAL EMPLOYEES, AFL-CIO, COUNCIL NO. 14","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY, AND MUNICIPAL EMPLOYEES, COUNCIL 31","AFSCME"
