"Case","Case_Name","Region","Status","Date_Filed","Date_Closed","Reason_Closed","City","State","Unit ID","Ballot_Type","Tally_Type","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Allegations","Union","Unit Sought","Voters","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National","National_Count","Margin","Union_Cer","Didnt_Vote","lat","long","formatted_address","accuracy","accuracy_type","source","address_components.city","address_components.county","address_components.state","address_components.zip","address_components.country","seached","lat_jit","long_jit"
"05-RC-293696","Starbucks Corporation","Region 05, Baltimore, Maryland","Closed",2022-04-06,2022-05-11,"Certific. of Representative","Nottingham","MD","A","Single Labor Organization","Initial",2022-06-01,21,NA,"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union",10,"",NA,"",NA,2,12,"",NA,"","Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union","All full-time and regular part-time baristas and shift supervisors employed by the Employer at its facility currently located at 5350 Campbell Boulevard, Nottingham, Maryland, but excluding all office clerical employees, guards, professional employees, and supervisors as defined in the Act.","","","","","Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union","Included: All full-time and regular part-time Baristas, Shift Supervisors, Asst. Store Managers.

Excluded: Store Managers, office clericals, guards and supervisors as defined by the Act.",21,56,2022-04-01,2022-04-01,"11-25",TRUE,"RC","Yes","Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union","WU",1,0.833333333333333,"Yes",9,39.392107,-76.489277,"Nottingham, MD 21236",1,"place","TIGER/Line® dataset from the US Census Bureau","Nottingham","Baltimore County","MD","21236","US",1,39.83594653535,-76.8059411741991
"05-RC-293910","Starbucks Corporation","Region 05, Baltimore, Maryland","Closed",2022-04-12,2022-05-31,"Certific. of Representative","Newport News","VA","A","Single Labor Organization","Initial",2022-05-19,20,NA,"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union",11,"",NA,"",NA,7,18,"",NA,"","Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union","All full-time and regular part-time baristas and shift supervisors employed by the Employer at its facility currently located at 340 Oyster Point Road, Newport News, Virginia, but excluding all officer clerical employees, guards, professional employees, and supervisors as defined in the Act.","","","","","Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union","included:  All full-time and regular part-time Baristas, Shift Supervisors, Asst. Store Managers

Excluded:  Store Managers, office clericals, guards and supervisors as defined by the Act",20,37,2022-04-01,2022-04-01,"11-25",TRUE,"RC","Yes","Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union","WU",1,0.611111111111111,"Yes",2,37.058296,-76.463471,"Newport News, VA 23601",1,"place","TIGER/Line® dataset from the US Census Bureau","Newport News","Newport News City","VA","23601","US",1,37.0135603571515,-76.3349603611614
"05-RC-295021","Starbucks Corporation","Region 05, Baltimore, Maryland","Closed",2022-05-02,2022-06-22,"Certification of Results","Glen Allen","VA","A","Single Labor Organization","Initial",2022-06-10,31,NA,"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union",7,"",NA,"",NA,20,27,"",1,"","","All full-time and regular part-time baristas and shift supervisors employed by the Employer at its facility currently located at 11332 Nuckols Road, Glen Allen, Virginia, but excluding all office clerical employees, guards, and supervisors as defined in the Act.","","","","","","Included: All full-time and regular part-time Baristas, Shift Supervisors, Asst. Store Managers.

Excluded: Store Managers, office clericals, guards and supervisors as defined by the Act.",31,39,2022-04-01,2022-04-01,"26-50",TRUE,"RC","Yes","Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union","WU",1,0.259259259259259,"No",4,37.728404,-77.554393,"Glen Allen, VA 23059",1,"place","TIGER/Line® dataset from the US Census Bureau","Glen Allen","Hanover County","VA","23059","US",1,37.9512823301543,-77.4791166351948
"05-RC-296297","Starbucks Corporation","Region 05, Baltimore, Maryland","Closed",2022-05-24,2022-07-08,"Certific. of Representative","Sterling","VA","A","Single Labor Organization","Initial",2022-06-28,20,NA,"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union",11,"",NA,"",NA,4,15,"",3,"","Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union","All full-time and regular part-time baristas and shift supervisors employed by the Employer at its facility currently located at 21000 Southbank Street, Sterling, Virginia, but excluding all office clerical employees, guards, and supervisors as defined in the Act.","","","","","Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union","Included: All full-time and regular part-time Baristas, Shift Supervisors, Asst. Store Managers.

Excluded: Store Managers, office clericals, guards and supervisors as defined by the Act.",20,35,2022-04-01,2022-04-01,"11-25",TRUE,"RC","Yes","Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union","WU",1,0.733333333333333,"Yes",5,39.023047,-77.399367,"Sterling, VA 20164",1,"place","TIGER/Line® dataset from the US Census Bureau","Sterling","Loudoun County","VA","20164","US",1,39.50350260834,-77.8633213287922
"05-RC-301836","Starbucks Corporation","Region 05, Baltimore, Maryland","Closed",2022-08-22,2022-10-24,"Certific. of Representative","Washington","DC","A","Single Labor Organization","Initial",2022-09-30,16,NA,"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union",10,"",NA,"",NA,6,16,"",NA,"","Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union","Included: All full-time and regular part-time baristas and shift supervisors employed by the Employer at its facility currently located at 1429 P Street NW, Washington, DC.

Excluded: All office clerical employees, guards, professional employees, and supervisors as defined in the Act. 

Others permitted to vote: The parties have agreed that assistant store managers may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in this classification or group are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.","","","","","Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union","Included:  All full-time and regular part-time Baristas, Shift Supervisors, Asst. Store Managers.  Excluded:  Store Managers, office clericals, guards and supervisors as defined by the Act.",16,39,2022-07-01,2022-07-01,"11-25",TRUE,"RC","Yes","Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union","WU",1,0.625,"Yes",0,38.911936,-77.016719,"Washington, DC 20001",1,"place","TIGER/Line® dataset from the US Census Bureau","Washington","District of Columbia","DC","20001","US",1,38.5902296875243,-76.948260001657
"05-RC-304319","Starbucks Corporation","Region 05, Baltimore, Maryland","Closed",2022-09-29,2022-11-17,"Certific. of Representative","Arlington","VA","A","Single Labor Organization","Initial",2022-11-08,12,10,"Mid-Atlantic Regional Joint Board, Workers United",8,"",NA,"",NA,2,10,"",1,"","Mid-Atlantic Regional Joint Board, Workers United","Included:  All full-time and regular part-time Baristas, Shift Supervisors who were employed by the Employer during the payroll period ending October 16, 2022.

Excluded:  Store Managers, office clericals, guards and supervisors as defined by the Act.

OTHERS PERMITTED TO VOTE: At this time, no decision has been made regarding whether assistant store managers are included in, or excluded from, the bargaining unit, and individuals in this classification may vote in the election but their ballots shall be challenged since their eligibility has not been determined. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.","","","","","Mid-Atlantic Regional Joint Board, Workers United","Included:  All full-time and regular part-time Baristas, Shift Supervisors.

Excluded:  Store Managers, office clericals, guards and supervisors as defined by the Act.

OTHERS PERMITTED TO VOTE: At this time, no decision has been made regarding whether assistant store managers are included in, or excluded from, the bargaining unit, and individuals in this classification may vote in the election but their ballots shall be challenged since their eligibility has not been determined. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",12,40,2022-10-01,2022-07-01,"11-25",TRUE,"RC","Yes","Mid-Atlantic Regional Joint Board, Workers United","WU",1,0.8,"Yes",2,38.885484,-77.099113,"Arlington, VA 22201",1,"place","TIGER/Line® dataset from the US Census Bureau","Arlington","Arlington County","VA","22201","US",1,38.8725965686914,-77.0856148802229
"05-RC-307885","Starbucks Corporation","Region 05, Baltimore, Maryland","Closed",2022-11-29,2023-01-18,"Certific. of Representative","Ashburn","VA","A","Single Labor Organization","Initial",2023-01-09,17,NA,"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union",11,"",NA,"",NA,5,16,"",NA,"","Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union","INCLUDED: All full-time and regular part-time baristas and shift supervisors employed by the Employer at its facility currently located at 44185 Ashbrook Marketplace Plaza, Ashburn, Virginia.

EXCLUDED: All office clerical employees, guards, professional employees, and supervisors as defined in the Act. 

OTHERS PERMITTED TO VOTE: At this time, no decision has been made regarding whether assistant store managers are included in, or excluded from, the bargaining unit, and individuals in this classification may vote in the election but their ballots shall be challenged since their eligibility has not been determined. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.","","","","","Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union","Included: All full-time and regular part-time Baristas, Shift Supervisors, Asst. Store Managers.

Excluded: Store Managers, office clericals, guards and supervisors as defined by the Act.",17,41,2023-01-01,2022-10-01,"11-25",TRUE,"RC","Yes","Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union","WU",1,0.6875,"Yes",1,39.085309,-77.645224,"Ashburn, VA 20146",1,"place","TIGER/Line® dataset from the US Census Bureau","Ashburn","Loudoun County","VA","20146","US",1,38.8402639085088,-78.0325300892802
"05-RC-311740","Starbucks Corporation","Region 05, Baltimore, Maryland","Closed",2023-02-08,2023-03-16,"Certification of Results","Salisbury","MD","A","Single Labor Organization","Initial",2023-03-08,25,NA,"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union",4,"",NA,"",NA,17,21,"",2,"","","Included: All full-time and regular part-time baristas and shift supervisors employed by the Employer at its facility currently located at 1111 South Salisbury Boulevard, Salisbury, Maryland.

Excluded: All office clerical employees, guards, and supervisors as defined in the Act.","","","","","","Included: All full-time and regular part-time Baristas, Shift Supervisors, Asst. Store Managers.

Excluded: Store Managers, office clericals, guards and supervisors as defined in the Act.",25,28,2023-01-01,2023-01-01,"11-25",TRUE,"RC","Yes","Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union","WU",1,0.19047619047619,"No",4,38.382445,-75.633621,"Salisbury, MD 21801",1,"place","TIGER/Line® dataset from the US Census Bureau","Salisbury","Wicomico County","MD","21801","US",1,38.2350697672271,-75.8026951330385
"05-RC-318835","Starbucks Corporation","Region 05, Baltimore, Maryland","Closed",2023-05-25,2023-07-21,"Certific. of Representative","Ellicott City","MD","","","",NA,22,NA,"",NA,"",NA,"",NA,NA,NA,"",NA,"","","","","","","","Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union","Included:  All full-time and regular part-time Baristas, Shift Supervisors, Asst. Store Managers

Excluded:  Store Managers, office clericals, guards and supervisors as defined by the Act",21,NA,NA,2023-04-01,"11-25",TRUE,"RC","No","","",0,NA,"Yes",NA,39.236405,-76.941902,"Ellicott City, MD 21041",1,"place","TIGER/Line® dataset from the US Census Bureau","Ellicott City","Howard County","MD","21041","US",1,38.9802593308526,-76.9961039894347
"05-RC-320922","Starbucks Corporation","Region 05, Baltimore, Maryland","Open",2023-06-29,NA,"","Washington","DC","","","",NA,23,NA,"Workers United",NA,"",NA,"",NA,NA,NA,"",NA,"","","","","","","","","Included:  All full-time and regular part-time Baristas and Shift Supervisors

Excluded:  Store managers, Assistant Store Managers, office clericals, guards, and supervisors as d",NA,NA,NA,2023-04-01,"11-25",TRUE,"RC","No","Workers United","WU",1,NA,"No",NA,38.911936,-77.016719,"Washington, DC 20001",1,"place","TIGER/Line® dataset from the US Census Bureau","Washington","District of Columbia","DC","20001","US",1,39.3290968851757,-77.1589739565323
"06-RC-290464","Starbucks Corporation","Region 06, Pittsburgh, Pennsylvania","Closed",2022-02-11,2022-04-21,"Certific. of Representative","Pittsburgh","PA","A","Single Labor Organization","Initial",2022-04-13,22,NA,"WORKERS UNITED SOUTHWEST REGIONAL JOINT BOARD",20,"",NA,"",NA,0,20,"",NA,"","WORKERS UNITED SOUTHWEST REGIONAL JOINT BOARD","Included: All full-time and regular part-time hourly Baristas and Shift Supervisors employed at 4765 Liberty Avenue, Pittsburgh, Pennsylvania 15224 (Store 7749 – referred to as the “Bloomfield Store”) 
 
Excluded: All Store Managers, office clerical employees, and guards, and professional employees and supervisors as defined by the Act, and all other employees.","","","","","WORKERS UNITED SOUTHWEST REGIONAL JOINT BOARD","Included: All full-time and regular part-time Baristas and Shift Supervisors.
Excluded: Store Managers, Office Clericals, Guards, Professional Employees and Supervisors under the Act.",22,61,2022-04-01,2022-01-01,"11-25",TRUE,"RC","Yes","WORKERS UNITED SOUTHWEST REGIONAL JOINT BOARD","WU",1,1,"Yes",2,40.47441,-79.950968,"Pittsburgh, PA 15201",1,"place","TIGER/Line® dataset from the US Census Bureau","Pittsburgh","Allegheny County","PA","15201","US",1,40.3449547532702,-79.5609132069029
